Borough,Control,Condition of External Walls,Condition of Windows,Condition of Stairways,Condition of Floors,Condition of Building,Number of Units in Building,Complete Plumbing Facilities,Toilet Breakdowns,Kitchen Facilities Functioning,Monthly Contract Rent,Senior Citizen Rent Increase Exemption (SCRIE),Public Assistance Shelter Allowance,Another Federal Housing Subsidy Program,Another State or City Housing Subsidy Program,Heating Equipment Breakdown,Exterminator Service,Cracks or Holes in Interior Walls or Ceiling,Broken Plaster or Peeling Paint on Ceiling or Inside Walls,Water Leakage Inside Apartment,Year Built,Owner in Building,Length of Lease,Race,New Rent Law,Old,More_units,Brooklyn,Manhattan,Staten Island,Bronx,score,good
4,0,999919,99919,991999,999919,2,3,0,2,1,1600,9,2,2,2,1,4,1,1,2,1,1,6,2,1,0,0,0,0,0,0,8,1
1,1,999919,99919,991999,999919,2,12,0,2,2,920,9,2,2,2,0,4,1,0,2,8,2,2,2,1,1,1,0,0,0,1,2,0
4,0,999919,99919,991999,999919,2,3,0,2,1,900,9,2,2,2,1,5,2,1,2,6,2,2,2,1,0,0,0,0,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,1275,9,2,2,2,1,4,2,1,2,9,1,6,4,1,1,0,0,0,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,2,1,1200,9,2,2,2,1,2,2,1,2,7,1,3,1,1,1,0,0,0,0,0,10,1
1,1,999919,99919,991999,999919,2,11,0,2,2,1600,9,2,2,2,1,4,2,1,1,7,2,4,1,1,1,0,0,0,0,1,6,0
4,0,999919,99919,991999,999991,2,6,0,2,1,1500,9,2,2,2,1,4,1,0,1,8,1,1,1,1,1,0,0,0,0,0,3,0
4,0,999919,99919,991999,999919,2,5,0,2,1,1000,9,2,2,2,1,3,2,1,1,6,2,6,1,1,0,0,0,0,0,0,8,1
1,0,999919,99919,888888,999919,2,12,0,2,1,1423,9,1,2,2,1,1,2,1,2,1,2,4,2,1,0,1,0,0,0,1,9,1
2,1,999919,99919,991999,999919,2,5,0,2,1,600,2,2,2,2,0,4,1,0,1,7,1,6,1,1,1,0,1,0,0,0,2,0
3,0,999919,99919,888888,999919,2,12,0,2,1,5500,9,2,2,2,1,2,2,1,1,8,2,2,1,1,1,1,0,1,0,0,7,0
3,1,999919,99919,991999,999919,2,11,0,8,1,1475,9,2,2,2,0,1,2,1,2,8,2,4,1,1,1,0,0,1,0,0,7,0
4,1,999919,99919,991999,999919,2,13,0,2,1,1400,9,2,2,2,1,2,2,1,1,5,3,2,4,1,0,1,0,0,0,0,8,1
2,1,999919,99919,991999,999919,2,10,0,2,1,1250,9,2,2,2,1,1,2,1,2,7,2,2,1,1,1,0,1,0,0,0,10,1
2,1,999919,99919,991999,999919,2,12,0,2,1,1768,9,2,2,2,1,1,2,0,1,6,2,2,1,1,0,1,1,0,0,0,6,0
4,0,999919,99919,991999,999919,2,13,0,2,1,1550,9,2,2,2,1,1,2,1,2,7,1,2,1,1,1,1,0,0,0,0,10,1
1,0,999919,99919,991999,999919,2,11,0,2,1,1210,9,2,2,2,1,1,2,1,2,1,2,2,2,1,0,0,0,0,0,1,10,1
2,1,999919,99919,991999,999919,2,9,0,2,1,1079,9,2,2,2,1,4,2,1,2,8,2,4,1,1,1,0,1,0,0,0,10,1
2,1,999919,99919,991999,999919,2,10,0,2,1,911,9,2,2,2,1,1,2,1,1,9,2,4,1,1,1,0,1,0,0,0,8,1
3,1,999919,99919,991999,999919,2,13,0,1,1,1384,9,2,2,2,1,1,2,1,2,9,2,2,1,1,1,1,0,1,0,0,8,1
1,1,999919,99919,991999,999919,2,11,0,2,1,800,9,2,2,2,0,1,2,1,2,9,2,4,2,1,1,0,0,0,0,1,8,1
4,1,999919,99919,991999,999919,2,8,0,2,1,975,2,2,2,2,1,1,2,1,2,7,2,4,1,1,1,0,0,0,0,0,10,1
3,0,999919,99919,991999,999919,2,13,0,2,1,2700,9,2,2,2,1,1,2,1,2,9,2,1,1,1,1,1,0,1,0,0,10,1
4,0,999919,99919,991999,999919,2,3,0,8,8,1200,2,2,2,2,8,8,8,8,8,5,8,8,1,1,0,0,0,0,0,0,4,0
1,0,991999,99919,919999,999919,3,5,0,2,1,1300,9,2,2,2,1,2,1,0,1,9,2,2,1,1,1,0,0,0,0,1,0,0
2,1,999919,99919,991999,999919,8,11,0,1,1,1400,2,2,2,2,1,5,2,1,2,7,2,2,2,1,1,0,1,0,0,0,8,1
2,0,999919,99919,199999,919999,2,5,0,1,1,1500,9,2,2,2,0,4,1,0,1,9,2,7,1,1,1,0,1,0,0,0,-4,0
1,0,999919,99199,991999,999919,2,13,1,2,9,225,9,2,2,2,1,1,2,1,2,2,2,6,2,1,0,1,0,0,0,1,6,0
4,1,999919,99919,999991,999991,2,8,0,2,1,965,9,8,8,8,1,4,2,1,2,9,2,8,1,1,1,0,0,0,0,0,8,1
2,0,999919,99919,991999,999919,2,6,0,2,1,900,9,2,2,2,1,2,2,1,2,7,1,6,1,1,1,0,1,0,0,0,10,1
4,0,999919,99919,991999,999919,2,12,0,2,1,1300,9,2,2,2,1,1,2,1,2,7,2,4,1,1,1,1,0,0,0,0,10,1
1,1,999919,99919,991999,999919,2,12,0,1,1,450,9,2,2,2,0,1,2,1,2,7,2,7,2,1,1,1,0,0,0,1,6,0
3,1,999919,99919,991999,999919,2,13,0,2,1,2847,9,2,2,2,1,1,2,1,2,5,3,4,1,1,0,1,0,1,0,0,10,1
4,1,191999,99919,991999,999919,3,8,0,1,1,1250,9,2,2,2,1,4,1,0,2,7,2,4,1,1,1,0,0,0,0,0,1,0
3,1,999919,99919,991999,999919,2,11,0,2,1,1750,9,2,2,2,1,5,2,1,2,5,3,2,4,1,0,0,0,1,0,0,10,1
1,1,999919,99919,991999,991999,2,12,0,2,1,1300,9,1,2,2,1,1,2,1,2,8,2,2,1,1,1,1,0,0,0,1,8,1
4,1,999919,99919,991999,999919,2,12,0,2,1,745,1,2,2,2,1,1,1,0,2,6,2,4,1,1,0,1,0,0,0,0,6,0
4,0,999919,99919,991999,888888,3,1,0,8,8,2500,9,2,2,2,8,8,8,8,8,6,2,8,2,1,0,0,0,0,0,0,3,0
4,1,999919,99919,991999,999919,2,13,0,2,8,1220,9,2,2,2,0,1,1,1,1,5,3,4,1,1,0,1,0,0,0,0,3,0
3,1,999919,99919,991999,999919,2,11,0,2,1,750,9,2,2,2,8,8,8,8,8,7,8,8,5,1,1,0,0,1,0,0,6,0
1,1,999919,99919,991999,999919,2,12,0,2,1,900,2,2,2,2,1,1,2,1,2,8,2,4,1,1,1,1,0,0,0,1,10,1
2,0,999919,99919,991999,999919,2,9,0,2,1,1800,9,2,2,2,1,2,2,1,2,3,2,1,1,1,0,0,1,0,0,0,10,1
